abaisser;LOWER
abandonner;ABANDON
abattre;KILL
abréger;END
abstraire;ABSTRACT
accéder;ACCESS
accélérer;INCREASE_SPEED
accentuer;INCREASE
accepter;ACCEPT
accomplir;ACHIEVE
accrocher;ATTACH
accroître;INCREASE
accueillir;WELCOME
acheter;BUY
achever;END
acquérir;GET
activer;ACTIVATE
actualiser;REFRESH
adapter;ADAPT
additionner;ADD
administrer;GIVE
adorer;LOVE
adresser;ADDRESS
affaiblir;DECREASE_POWER
afficher;DISPLAY
affirmer;CONFIRM
agir;ACT
agrandir;INCREASE_SIZE
agréer;AGREE
agripper;CATCH
aider;HELP
aimer;LOVE
ajouter;ADD
alerter;ALERT
aligner;ALIGN
alimenter;FEED
alléger;DECREASE_WEIGHT
aller;GO
allier;LINK
allumer;TURN_ON
améliorer;INCREASE
amener;BRING
amoindrir;DECREASE_IMPORTANCE
amplifier;INCREASE
analyser;ANALYZE
animer;ANIMATE
annihiler;KILL
annoncer;ANNOUNCE
annuler;CANCEL
apercevoir;SEE
apparaître;DISPLAY
appartenir;BELONG
appauvrir;DECREASE_MONEY
appeler;CALL
applaudir;CLAP
appliquer;APPLY
apporter;BRING
apprécier;LIKE
apprendre;LEARN
approcher;APPROACH
approfondir;INCREASE_DEPTH
approuver;CONFIRM
appuyer;PUSH
arracher;DETACH
arranger;ARRANGE
arrêter;STOP
arriver;COME
assassiner;KILL
assembler;ASSEMBLE
asseoir;SIT
assister;ASSIST
associer;LINK
assombrir;DECREASE_LIGHT
attacher;ATTACH
attaquer;ATTACK
attendre;WAIT
atténuer;DECREASE_STRENGTH
attester;AFFIRM
attraper;CATCH
augmenter;INCREASE
autoriser;ALLOW
avertir;ALERT
avoir;HAVE
axer;ALIGN
baisser;DECREASE
bavarder;TALK
blaguer;JOKE
blesser;HURT
bloquer;BLOCK
boire;DRINK
bosser;WORK
bouffer;EAT
bouger;MOVE
briller;SHINE
briser;BREAK
broyer;BREAK
brûler;BURN
cacher;HIDE
calculer;COMPUTE
calmer;CALM
capter;CATCH
certifier;AFFIRM
cesser;STOP
changer;CHANGE
chanter;SING
charger;LOAD
chasser;HUNT
chauffer;INCREASE_TEMPERATURE
chercher;SEARCH
chialer;CRY
choisir;CHOOSE
chuchoter;TALK
chuter;FALL
ciseler;CUT
citer;QUOTE
claquer;SLAP
classer;GROUP
cliquer;CLICK
cloner;CLONE
clore;CLOSE
clôturer;CLOSE
cocher;CHECK
cogiter;MOVE
cogner;HIT
collecter;GATHER
coller;PASTE
combattre;FIGHT
commencer;START
commenter;COMMENT
commettre;DO
comparer;COMPARE
compléter;COMPLETE
complexifier;INCREASE_DIFFICULTY
compliquer;INCREASE_DIFFICULTY
composer;COMPOSE
comprendre;UNDERSTAND
compter;COUNT
concéder;LET
conclure;END
confectionner;MAKE
confier;GIVE
configurer;CONFIGURE
confirmer;CONFIRM
connaître;KNOW
connecter;CONNECT
consommer;CONSUME
construire;MAKE
consulter;DISPLAY
consumer;CONSUME
contacter;CONTACT
continuer;CONTINUE
contrer;COUNTER
contrôler;CONTROL
convertir;CONVERT
copier;COPY
coucher;SLEEP
couper;CUT
courir;RUN
créer;MAKE
crier;SHOUT
croître;INCREASE
cueillir;GATHER
cumuler;GATHER
danser;DANCE
débarquer;COME
débattre;TALK
débloquer;UNLOCK
débuter;START
déceler;FIND
déchiqueter;CUT
déchirer;CUT
décider;CHOOSE
déclarer;DECLARE
déclencher;TURN_ON
décliner;DECLINE
déconner;JOKE
découper;CUT
découvrir;DISCOVER
décrire;DESCRIBE
décrocher;DETACH
décroître;DECREASE
défaire;CANCEL
défendre;DEFEND
définir;DEFINE
défoncer;HIT
déjeuner;EAT_NOON
déléguer;DELEGATE
délier;UNLINK
demander;ASK
démarrer;START
démentir;DENY
demeurer;BE
démolir;BREAK
démontrer;DEMONSTRATE
dénier;DENY
dépenser;USE_MONEY
déplacer;MOVE
désapprendre;UNLEARN
descendre;DECREASE
déshabiller;UNDRESS
désigner;CHOOSE
désister;DECLINE
dessiner;DRAW
détacher;DETACH
détecter;DETECT
déterminer;FIND
détester;HATE
détruire;BREAK_DESTROY
développer;DEVELOP
devenir;BECOME
dévêtir;UNDRESS
dévier;CHANGE_PATH
deviner;FIND
devoir;MUST
devoir;OWE
dévorer;EAT
dialoguer;TALK
diminuer;DECREASE
dîner;EAT_NIGHT
dire;SAY
discuter;TALK
disjoindre;DETACH
diviser;DIVIDE
donner;GIVE
dormir;SLEEP
doubler;MULTIPLY_2
dupliquer;MULTIPLY_2
durer;LAST
échanger;TRADE
échapper;ESCAPE
échouer;FAIL
éclaircir;INCREASE_LIGHT
éclairer;INCREASE_LIGHT
éclater;BREAK
écouter;LISTEN
écrire;WRITE
éditer;EDIT
effacer;DELETE
effectuer;DO
élargir;INCREASE_SIZE
élever;INCREASE_HEIGHT
éliminer;DELETE
éloigner;INCREASE_DISTANCE
embellir;INCREASE_BEAUTY
embraser;BURN
émettre;SEND
emmener;BRING
emparer;GET
emplir;FILL
emporter;BRING
emprunter;TAKE
encaisser;TAKE_MONEY
enchérir;INCREASE_PRICE
enclore;CLOSE_INSIDE
endommager;HURT
enfermer;CLOSE_INSIDE
enflammer;BURN
engager;START
enlever;DELETE
énoncer;TELL
enquêter;SEARCH
enregistrer;SAVE
enregistrer;RECORD
enrichir;INCREASE_MONEY
enseigner;TEACH
entamer;START
entendre;HEAR
entourer;CLOSE_INSIDE
entrer;ENTER
énumérer;LIST
envisager;THINK_ABOUT
envoyer;SEND
épaissir;INCREASE_WIDTH
épeler;SPELL
épier;SPY
éprouver;FEEL
équiper;EQUIP
escalader;CLIMB
espérer;HOPE
essayer;TRU
établir;SET
éteindre;TURN_OFF
étourdir;STUN
être;BE
étudier;STUDY
évader;EVADE
évaluer;COMPUTE_EVALUATE
éviter;AVOID
évoluer;GROW_EVOLVE
évoquer;TALK_ABOUT
examiner;ANALYZE
exclamer;SAY_LOUD
exclure;TAKE_OUT
exécuter;EXECUTE
exiger;WANT_STRONGLY
exister;EXIST
expédier;SEND
expirer;END
expliquer;EXPLAIN
explorer;EXPLORE
exprimer;SAY
extraire;EXTRACT
fabriquer;MAKE
faciliter;DECREASE_DIFFICULTY
faire;DO
faire;MAKE
fêler;HURT
fendre;BREAK
fermer;CLOSE
filer;GIVE
filmer;RECORD_VIDEO
finaliser;END
finir;END
foirer;FAIL
fonctionner;WORK
forcer;FORCE
formater;FORMAT
fouetter;WHIP
fournir;GIVE
frapper;HIT
freiner;STOP
froisser;HURT
gager;AFFIRM
gager;GUARANTEE
gagner;WIN
galoper;MOVE
garantir;AFFIRM
garantir;GUARANTEE
garder;KEEP
garer;PARK
geler;FREEZE
générer;GENERATE
gérer;MANAGE
glacer;FREEZE
goûter;EAT
grandir;GROW
grignoter;EAT
grossir;INCREASE_SIZE
guérir;CURE
guetter;LOOK_SPY
gueuler;SHOUT
guider;LEAD
habiller;DRESS
habiter;LIVE
hacher;CUT
hâter;HURRY
hériter;INHERIT
hésiter;HESITATE
heurter;HURT
huer;SHOUT
hurler;SHOUT
identifier;IDENTIFY_POINT
ignorer;IGNORE
imaginer;THINK_IMAGINE
imiter;COPY_BEHAVIOR
implanter;PUT_IN
importer;IMPORT
imposer;FORCE
impressionner;IMPRESS
imprimer;PRINT
indiquer;SHOW
induire;TODO_1
influencer;TODO_1
influer;TODO_1
informer;LEARN_INFORM
inscrire;SUBSCRIBE
insérer;INSERT
installer;INSTALL
intensifier;INCREASE_POWER
interdire;FORBID
interroger;ASK
interrompre;STOP
introduire;INSERT_PERSON
inviter;INVITE
jeter;DELETE
jeter;THROW
joindre;ATTACH
jouer;PLAY
lâcher;LET_GO
laisser;LET
lancer;THROW
lancer;START
larguer;LEAVE
laver;WASH
lécher;LICK
libérer;LET_GO
lier;ATTACH_LINK
limiter;LIMIT
lire;READ
lister;LIST
livrer;BRING
livrer;GIVE
louer;RENT
lutter;FIGHT
maigrir;DECREASE_WEIGHT
manager;MANAGE
manger;EAT
marcher;WALK
marteler;HIT_HAMMER
méditer;THINK
mener;LEAD
mentir;LIE
mesurer;MEASURE
métrer;MEASURE_METER
mettre;PUT
mimer;COPY_BEHAVIOR
mincir;DECREASE_WEIGHT
mirer;LOOK
modifier;EDIT
monnayer;TRADE
monter;INCREASE_HEIGHT
montrer;DISPLAY_SHOW
multiplier;MULTIPLY
muter;NULLIFY_SOUND
nager;SWIM
nettoyer;CLEAN
nier;DENY
noircir;DECREASE_LIGHT
nommer;NAME
noter;NOTE
notifier;NOTIFY
nourrir;FEED
obliger;FORCE
obscurcir;DECREASE_LIGHT
observer;LOOK
obtenir;GET
occuper;OCCUPY
offrir;GIVE_GIFT
ordonner;ORDER
orienter;SET_ORIENTATION
oser;OSE
ôter;REMOVE
oublier;REMOVE
oublier;FORGET
ouïr;HEAR
ouvrir;OPEN
paraître;SEEM
paramétrer;CONFIGURE_SETTINGS
parcourir;BROWSE
pardonner;FORGIVE
parer;COUNTER
parler;TALK_SPEAK
partager;SHARE
partir;LEAVE
passer;GIVE
passer;PASS
patienter;WAIT
pauser;PAUSE
payer;PAY_MONEY
penser;THINK
perdre;LOSE
permettre;ALLOW
peser;WEIGHT
photographier;TAKE_PICTURE
piéger;TRAP
placer;PLACE
plaisanter;JOKE
pleurer;CRY
pleuvoir;RAIN
pointer;POINT
porter;CARRY
porter;WEAR
positionner;POSITION
posséder;HAVE
poster;MAIL
poster;POST
pouvoir;CAN
précéder;COME_BEFORE
prendre;TAKE
préparer;PREPARE
presser;PUSH
presser;PRESS
prévenir;ALERT
prier;PRAY
produire;MAKE
progresser;PROGRESS
prononcer;SAY_PRONOUNCE
proposer;PROPOSE
protéger;PROTECT
provoquer;PROVOKE
publier;POST
questionner;ASK
quitter;LEAVE
quitter;QUIT
quitter;EXIT
raconter;TELL
rafraîchir;REFRESH
rafraîchir;INCREASE_TEMPERATURE
raisonner;THINK
rajeunir;DECREASE_AGE
rajouter;ADD
ralentir;DECREASE_SPEED
ramasser;TAKE
ramasser;PICK
ramener;BRING
ramollir;DECREASE_HARDNESS
ranger;STORE
rapetisser;DECREASE_HEIGHT
rappeler;CALL_AGAIN
rappeler;REMEMBER
rapporter;BRING
rapprocher;DECREASE_DISTANCE
raser;CUT
rassembler;GATHER
rasseoir;SIT_AGAIN
rater;FAIL
rater;MISS
rattacher;ATTACH
rattraper;CATCH
ravoir;HAVE_AGAIN
réaliser;REALISE
réapparaître;APPEAR_AGAIN
réapprendre;LEARN_AGAIN
réceptionner;CATCH
recevoir;RECEIVE
réchauffer;INCREASE_TEMPERATURE
rechercher;SEARCH
réciter;TELL
réclamer;NEED
récolter;GATHER
recommencer;START_AGAIN
reconduire;LEAD
reconnaître;IDENTIFY
reconstruire;BUILD_AGAIN
recontacter;CONTACT_AGAIN
recopier;COPY
recourir;USE
recouvrir;COVER
recréer;CREATE_AGAIN
récrire;WRITE_AGAIN
recruter;RECRUIT
rectifier;CORRECT
recueillir;GATHER
reculer;MOVE_BACK
récupérer;GET
redémarrer;START_AGAIN
redescendre;DECREASE_AGAIN
redevenir;BECOME
rédiger;EDIT
redonner;GIVE_AGAIN
réduire;DECREASE
réécrire;WRITE_AGAIN
réélire;CHOOSE_AGAIN
réessayer;TRY_AGAIN
refaire;DO_AGAIN
référencer;REFERENCE
référer;REFER
refermer;CLOSE_AGAIN
réfléchir;THINK
refroidir;DECREASE_TEMPERATURE
refroidir;KILL
refuser;DECLINE
regarder;LOOK
régler;FIX
regrouper;GROUP
réinscrire;SUBSCRIBE_AGAIN
réitérer;DO_AGAIN
rejeter;DECLINE
rejeter;TROW_AGAIN
rejoindre;SUBSCRIBE
relâcher;LET
relancer;THROW_AGAIN
relayer;DELEGATE
relever;NOTE
relier;LINK
relire;READ_AGAIN
remarquer;NOTICE
rembourser;GIVE_MONEY_BACK
remémorer;REMEMBER
remercier;THANK
remettre;GIVE
remonter;INCREASE_AGAIN
remplacer;REPLACE
remplir;FILL
remporter;WIN
remuer;SHAKE
rémunérer;GIVE_MONEY
renaître;BORN_AGAIN
renaître;RESURRECT
renchérir;INCREASE_PRICE_AGAIN
rencontrer;MEET
rendormir;SLEEP_AGAIN
rendre;GIVE_BACK
renforcer;INCREASE_STRENGTH
renier;DENY
renommer;NAME_AGAIN
renoncer;FORGET
renseigner;INFORM
rentrer;MOVE_IN
renvoyer;SEND_AGAIN
renvoyer;SEND_BACK
réparer;FIX
réparer;REPAIR
reparler;TALK_AGAIN
repartir;LEAVE
repasser;PLAY_AGAIN
repasser;IRON
repasser;PASS_AGAIN
repeindre;PAINT_AGAIN
repérer;NOTICE
répéter;DO_AGAIN
répondre;ANSWER
repousser;GROW_AGAIN
reprendre;TAKE_AGAIN
reprendre;RESUME
représenter;REPRESENT
reproduire;MAKE_AGAIN
résilier;CANCEL
résister;RESIST
respecter;RESPECT
respirer;BREATHE
ressaisir;TAKE_AGAIN
ressembler;LOOK_LIKE
ressentir;FEEL
ressortir;EXIT_AGAIN
ressusciter;RESURRECT
restaurer;RESTORE
rester;STAY
restituer;RESTORE
rétablir;RESTORE
retenir;HOLD
retirer;REMOVE
retirer;SHOT_AGAIN
retomber;FALL_AGAIN
retourner;TURN
retranscrire;TRANSLATE
retransmettre;SEND_AGAIN
rétrécir;DECREASE_SIZE
retrouver;FIND
réunir;GATHER
réussir;SUCCEED
réussir;WIN
réveiller;WAKE_UP
revendre;SELL
revenir;COME_AGAIN
rêver;DREAM
revêtir;WEAR
revoir;SEE_AGAIN
revouloir;WANT_AGAIN
rincer;WASH
rompre;BREAK
rougir;COLOR_RED
rouler;ROLL
rouler;DRIVE
rouvrir;OPEN_AGAIN
saigner;BLEED
saisir;TAKE
saluer;WAVE
sangloter;CRY
satisfaire;SATISFY
sauter;JUMP
sauvegarder;SAVE
sauver;SAVE
savoir;KNOW
savonner;WASH
scier;CUT
scinder;CUT
sécher;DRY
secouer;SHAKE
secourir;HELP
sélectionner;SELECT
sembler;SEEM
signaler;ALERT
signer;SIGN
simplifier;DECREASE_DIFFICULTY
situer;PLACE
soigner;CURE
solliciter;NEED
sommer;ADD
songer;THINK
sonner;RING
sortir;EXIT
souffler;BLOW
souhaiter;WISH
soulever;LIFT
souligner;NOTICE
souligner;UNDERLINE
souper;EAT_NIGHT
sourire;SMILE
souscrire;SUBSCRIBE
soustraire;SUBSTRACT
soustraire;REMOVE
souvenir;REMEMBER
spécifier;SPECIFY
stocker;STORE
stopper;STOP
subsister;STAY
substituer;REPLACE
substituer;SUBSTITUTE
succéder;COME_AFTER
sucer;SUCK
suggérer;SUGGEST
suivre;FOLLOW
supporter;SUPPORT
supposer;THINK
supposer;SUPPOSE
